Quận,Quận_encoded
Tây Hồ,107.15925195874098
Hà Đông,75.31199048322839
Hoàng Mai,77.75076147087536
Thanh Xuân,94.10392677473448
Bắc Từ Liêm,78.33576433121019
Cầu Giấy,117.64750212577617
Đống Đa,109.3890642673522
Ba Đình,112.71566419889143
Long Biên,79.408283847981
Nam Từ Liêm,87.560625
Hai Bà Trưng,89.68461939973902
Sóc Sơn,58.21335406187333
Gia Lâm,57.2240040441643
Hoài Đức,51.41429233409973
Thanh Trì,61.51462845010616
Thường Tín,80.50283764337102
Đông Anh,37.98669853651486
Hoàn Kiếm,274.06331901397544
Đan Phượng,81.03827341126693
Mỹ Đức,85.16196081525085
Chương Mỹ,79.4551310714487
Mê Linh,80.14054055309161
Thạch Thất,82.52037083255864
Thanh Oai,64.79957753636748
Sơn Tây,78.61988750531468
Quốc Oai,79.81764737595435
Ba Vì,82.47383687703456
Phúc Thọ,90.71368941631997
